;;#Cow;DIM;Milk Yield;Fat %;Prot. %;Lac. %;Urea;SCC;Age C;#I;%I;Exp. CI;UDR-C #;UDR-L #;UDR-P #;UDR-R #;UDR-C %;UDR-L %;UDR-P %;UDR-R %;NRG-A #;NRG-L #
Current Lact;;;;;;;;;;;;;;;;;;;;;;;
Lactation;1;125;172;30,9;4,54;3,44;4,92;246;133;2,1;1,7;69,6;395;97;15;13;;77,6;12;10,4;;6;
;2;92;152;35,7;4,57;3,4;4,85;235;123;3,2;1,5;69,6;381;49;11;23;9;53,3;12;25;9,8;8;
;3+;111;164;36,8;4,51;3,27;4,8;228;178;5;1,9;69,4;401;25;8;50;28;22,5;7,2;45;25,2;21;
Current DIM;;;;;;;;;;;;;;;;;;;;;;;
DIM Range;[5, 60);64;30;35,9;4,92;3,25;4,89;223;281;3,5;1;1,6;317;29;11;18;6;45,3;17,2;28,1;9,4;30;
;[60, 120);69;87;38;4,41;3,17;4,89;243;92;3,4;1,1;52,2;362;41;8;13;7;59,4;11,6;18,8;10,1;5;
;[120, 200);73;163;35,5;4,39;3,39;4,88;243;175;3,4;1,3;95,9;374;36;6;21;10;49,3;8,2;28,8;13,7;;
;[200, 305);87;247;31,5;4,4;3,51;4,8;238;81;3,2;1,8;98,9;396;49;7;23;8;56,3;8;26,4;9,2;;
;[305, ->);35;351;27,8;4,75;3,69;4,77;231;101;3,4;2,8;100;456;16;2;11;6;45,7;5,7;31,4;17,1;;
Current MPR;;;;;;;;;;;;;;;;;;;;;;;
Last Test;2025-06-02;328;164;34,2;4,54;3,37;4,86;236;146;3,4;1,7;69,5;393;171;34;86;37;52,1;10,4;26,2;11,3;35;
PAST MPRs;;;;;;;;;;;;;;;;;;;;;;;
Past Tests;2025-05-05;314;162;33,5;4,68;3,41;4,87;252;141;3,4;1,8;68,8;392;165;31;83;35;52,5;9,9;26,4;11,1;37;
;2025-04-07;306;164;34,5;4,31;3,45;4,87;249;154;3,4;1,9;70,3;397;158;29;89;30;51,6;9,5;29,1;9,8;;
;2025-03-03;304;172;33,2;4,46;3,54;4,83;194;175;3,4;1;72;398;229;75;;;75,3;24,7;;;;
;2025-02-03;290;173;34,8;4,16;3,51;4,88;203;131;3,3;2;71;400;140;37;82;31;48,3;12,8;28,3;10,7;;
;2025-01-06;299;173;32,8;4,4;3,46;4,89;195;148;3,3;2,1;68,6;402;151;35;81;32;50,5;11,7;27,1;10,7;;
;2024-12-02;293;182;32,8;4,46;3,57;4,88;164;148;3,2;2,2;72,4;406;154;25;84;30;52,6;8,5;28,7;10,2;;
;2024-11-04;286;186;32,4;4,32;3,58;4,88;170;120;3,2;2,3;72,4;408;146;23;85;32;51;8;29,7;11,2;;
;2024-10-01;275;184;30,1;4,19;3,47;4,88;206;105;3,2;2,4;70,9;410;134;29;82;30;48,7;10,5;29,8;10,9;;
;2024-09-03;257;185;32;4,31;3,33;4,85;171;126;3,2;2,4;74,7;413;120;31;83;23;46,7;12,1;32,3;8,9;;
;2024-08-01;261;182;32,6;4;3,3;4,88;157;133;3,2;2,3;72,8;410;116;32;86;27;44,4;12,3;33;10,3;;
;2024-07-02;254;178;33,4;3,92;3,33;4,88;190;136;3,1;2,3;73,2;405;109;37;74;34;42,9;14,6;29,1;13,4;;
;2024-05-06;233;178;32,3;4,19;3,4;4,9;153;191;3,2;2,3;74,2;407;95;27;79;32;40,8;11,6;33,9;13,7;;
;2024-04-09;228;170;33,1;4,31;3,42;4,91;172;123;3,2;2,2;73,7;402;101;22;71;34;44,3;9,6;31,1;14,9;;
;2024-03-04;216;165;33,7;4,15;3,54;4,9;173;101;3,1;2,2;70,8;395;94;23;70;29;43,5;10,6;32,4;13,4;;
;2024-02-05;202;162;33,6;4,44;3,49;4,9;185;157;3,1;2,1;70,3;391;83;24;64;31;41,1;11,9;31,7;15,3;;
;2024-01-10;200;155;34,3;4;3,51;4,88;188;130;3;2,2;66;392;88;27;55;30;44;13,5;27,5;15;;
;2023-12-07;186;157;32,6;4,52;3,57;4,89;182;134;3;2,2;68,3;390;90;18;53;25;48,4;9,7;28,5;13,4;;
;2023-11-06;173;167;32,4;4,51;3,61;4,87;258;143;3;2,2;72,8;392;74;24;49;26;42,8;13,9;28,3;15;;
;2023-10-09;172;166;33,9;4,27;3,51;4,9;197;152;3;2;73,8;386;71;24;48;29;41,3;14;27,9;16,9;;
;2023-09-04;158;170;34,9;4,01;3,41;4,91;143;165;3;1,9;76,6;381;64;26;41;27;40,5;16,5;25,9;17,1;;
;2023-08-07;161;159;35,4;4,06;3,35;4,91;176;191;2,9;1,9;72;383;74;20;41;26;46;12,4;25,5;16,1;;
;2023-07-14;158;155;34,7;4,13;3,29;4,92;208;134;2,9;2;67,7;387;77;19;39;23;48,7;12;24,7;14,6;;
;2023-06-12;145;160;34,7;3,96;3,34;4,91;179;145;2,8;2;74,5;386;68;19;42;16;46,9;13,1;29;11;;
